Company Name,Website URL,Description,Corporate Office Address
Advantage Energy Ltd.,https://www.advantageog.com/,"Advantage Energy is a Canadian natural gas-focused energy company with operations in the Montney Formation in Alberta. The company emphasizes low-cost production and sustainable development with approximately 2,170 drilling locations. Advantage targets 10% annual production growth while maintaining environmental and operational excellence.","Millennium Tower, Suite 2200, 440 2nd Avenue SW, Calgary, Alberta T2P 5E9, Canada"
Africa Energy Corp.,https://africaenergycorp.com/,Africa Energy Corp. is a Canadian oil and gas exploration company focused on exploration assets in South Africa and Namibia. The company holds approximately 49% of the common shares in offshore exploration blocks. Africa Energy is listed on the TSX Venture Exchange under the ticker symbol AFE.,"885 West Georgia Street, Suite 2000, Vancouver, BC V6C 3E8, Canada"
Altima Energy Inc.,https://altimaenergy.com/,"Altima Energy Inc. is a junior energy company engaged in exploring and developing oil and natural gas assets in Western Canada. The company focuses on acquiring and optimizing undervalued, low-risk assets with high return opportunities. Altima operates primarily in the Western Canadian Sedimentary Basin.","Suite 303, 595 Howe Street, Vancouver, BC V6C 2T5, Canada"
Alvopetro Energy Ltd.,https://alvopetro.com/,"Alvopetro Energy Ltd. is a Canadian energy company operating in Brazil and Canada, developing natural gas resources. The company focuses on the Caburé and Murucututu natural gas fields in Brazil's Recôncavo Basin. Alvopetro balances capital investment opportunities between its Brazilian and Canadian operations.","Suite 401, 255 – 17th Avenue SW, Calgary, Alberta T2S 2T8, Canada"
ARC Resources Ltd.,https://www.arcresources.com/,"ARC Resources Ltd. is a leading Canadian energy producer focused on developing high-quality crude oil, condensate, and natural gas assets. The company operates primarily in the Montney Formation in northeastern British Columbia and Alberta. ARC emphasizes operational excellence, sustainable development, and delivering value to shareholders.","1200, 308 – 4th Avenue SW, Calgary, Alberta T2P 0H7, Canada"
Argo Gold Inc.,https://argogold.com/,"Argo Gold Inc. is a Canadian mineral exploration company focused on gold exploration in Ontario, west of the Abitibi Greenstone Belt. The company explores for gold deposits in North and Northwestern Ontario regions. Argo Gold is listed on the Canadian Securities Exchange under the ticker symbol ARQ.","25 Adelaide Street East, Suite 1400, Toronto, ON M5C 3A1, Canada"
Arrow Exploration Corp.,https://arrowexploration.ca/,Arrow Exploration Corp. is a Canadian oil and gas exploration company with operations focused in Colombia. The company explores for and develops conventional oil and gas reserves in South America. Arrow is committed to responsible resource development and local community engagement.,"203, 2303 4th Street SW, Calgary, Alberta T2S 2S7, Canada"
Athabasca Oil Corporation,https://www.atha.com/,Athabasca Oil Corporation is a Canadian energy company focused on sustainable resource development of thermal and light oil assets. The company operates thermal oil projects in the Athabasca region and light oil assets in Alberta. Athabasca emphasizes innovation and responsible development practices.,"Suite 1200, 215 - 9th Avenue SW, Calgary, Alberta T2P 1K3, Canada"
Atlas Energy Corp.,https://atlas-corp.ca/,"Atlas Energy Corp. is a Canadian international oil and gas royalty company building a portfolio of production and development stage assets. Based in Calgary, the company focuses on upstream oil and gas development worldwide. Atlas aims to create value through strategic royalty acquisitions and partnerships.","3200, Dome Tower, 333 7th Avenue SW, Calgary, Alberta T2P 2Z1, Canada"
Avanti Helium Corp.,https://avantihelium.com/,"Avanti Helium Corp. is a gas exploration company specializing in helium extraction across western Canada and the United States. The company focuses on exploration, development, and production of helium, a critical industrial gas. Avanti operates helium exploration projects including the Greater Knappen Project.","1810 – 840 7th Avenue SW, Calgary, Alberta T2P 3G2, Canada"
